Name,Country,Region,Type,Last Known Eruption,Latitude,Longitude,Dominant Rock Type,Tectonic Setting
Newberry,United States,Canada and Western USA,Shield,690,43.722,-121.229,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Shasta,United States,Canada and Western USA,Stratovolcano,1786,41.409,-122.193,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Medicine Lake,United States,Canada and Western USA,Shield,1060,41.611000000000004,-121.554,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Lassen Volcanic Center,United States,Canada and Western USA,Stratovolcano,1917,40.492,-121.508,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Mono Lake Volcanic Field,United States,Canada and Western USA,Pyroclastic cone,1790,38.0,-119.03,Dacite,Rift Zone / Continental Crust (>25 km)
Mono Craters,United States,Canada and Western USA,Lava dome,1350,37.88,-119.0,Rhyolite,Rift Zone / Continental Crust (>25 km)
Inyo Craters,United States,Canada and Western USA,Lava dome,1380,37.692,-119.02,Rhyolite,Rift Zone / Continental Crust (>25 km)
Mammoth Mountain,United States,Canada and Western USA,Lava dome,1260,37.631,-119.03200000000001,Trachyte / Trachydacite,Rift Zone / Continental Crust (>25 km)
Salton Buttes,United States,Canada and Western USA,Lava dome,210,33.196999999999996,-115.616,Rhyolite,Rift Zone / Continental Crust (>25 km)
Craters of the Moon,United States,Canada and Western USA,Pyroclastic cone,-130,43.42,-113.5,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
Wapi Lava Field,United States,Canada and Western USA,Shield,-300,42.88,-113.22,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
Markagunt Plateau,United States,Canada and Western USA,Volcanic field,1050,37.58,-112.67,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
Black Rock Desert,United States,Canada and Western USA,Volcanic field,1290,38.97,-112.5,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
Uinkaret Field,United States,Canada and Western USA,Volcanic field,1100,36.38,-113.13,Trachybasalt / Tephrite Basanite,Rift Zone / Continental Crust (>25 km)
San Francisco Volcanic Field,United States,Canada and Western USA,Pyroclastic cone,1075,35.347,-111.678,Basalt / Picro-Basalt,Rift Zone / Continental Crust (>25 km)
CoAxial Segment,Undersea Features,Hawaii and Pacific Ocean,Submarine,1993,46.52,-129.58,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Axial Seamount,Undersea Features,Hawaii and Pacific Ocean,Submarine,2015,45.95,-130.0,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Cleft Segment,Undersea Features,Hawaii and Pacific Ocean,Submarine,1986,44.83,-130.3,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
North Gorda Ridge Segment,Undersea Features,Hawaii and Pacific Ocean,Submarine,1996,42.67,-126.78,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Loihi,United States,Hawaii and Pacific Ocean,Submarine,1996,18.92,-155.27,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Kilauea,United States,Hawaii and Pacific Ocean,Shield,2016,19.421,-155.287,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Mauna Loa,United States,Hawaii and Pacific Ocean,Shield,1984,19.475,-155.608,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Hualalai,United States,Hawaii and Pacific Ocean,Shield,1801,19.692,-155.87,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Haleakala,United States,Hawaii and Pacific Ocean,Shield,1750,20.708000000000002,-156.25,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Teahitia,France,Hawaii and Pacific Ocean,Submarine,1985,-17.564,-148.821,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic Crust (< 15 km)
Rocard,France,Hawaii and Pacific Ocean,Submarine,1972,-17.662,-148.586,Trachyte / Trachydacite,Intraplate / Oceanic Crust (< 15 km)
Moua Pihaa,France,Hawaii and Pacific Ocean,Submarine,1970,-18.325,-148.525,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic Crust (< 15 km)
Adams Seamount,Undersea Features,Hawaii and Pacific Ocean,Submarine,-50,-25.37,-129.27,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Macdonald,Undersea Features,Hawaii and Pacific Ocean,Submarine,1989,-28.98,-140.25,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Northern EPR-Segment RO2,Undersea Features,Hawaii and Pacific Ocean,Submarine,-50,16.55,-105.32,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Northern EPR-Segment RO3,Undersea Features,Hawaii and Pacific Ocean,Submarine,-50,15.83,-105.43,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Unnamed,Undersea Features,Hawaii and Pacific Ocean,Submarine,2003,10.73,-103.58,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km)
Unnamed,Undersea Features,Hawaii and Pacific Ocean,Submarine,2006,9.83,-104.3,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Galapagos Rift,Undersea Features,Hawaii and Pacific Ocean,Submarine,1996,0.792,-86.15,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Unnamed,Undersea Features,Hawaii and Pacific Ocean,Submarine,1969,-8.27,-107.95,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Southern EPR-Segment K,Undersea Features,Hawaii and Pacific Ocean,Submarine,1990,-17.436,-113.206,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Southern EPR-Segment J,Undersea Features,Hawaii and Pacific Ocean,Submarine,1890,-18.175,-113.35,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Southern EPR-Segment I,Undersea Features,Hawaii and Pacific Ocean,Submarine,1915,-18.53,-113.42,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Barcena,Mexico,México and Central America,Pyroclastic cone,1953,19.3,-110.82,Trachyte / Trachydacite,Rift Zone / Oceanic Crust (< 15 km)
Socorro,Mexico,México and Central America,Shield,1994,18.78,-110.95,Trachyte / Trachydacite,Rift Zone / Oceanic Crust (< 15 km)
Ceboruco,Mexico,México and Central America,Stratovolcano,1875,21.125,-104.508,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Colima,Mexico,México and Central America,Stratovolcano,2016,19.514,-103.62,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Michoacan-Guanajuato,Mexico,México and Central America,Pyroclastic cone,1952,19.85,-101.75,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Jocotitlan,Mexico,México and Central America,Stratovolcano,1270,19.73,-99.758,Dacite,Subduction Zone / Continental Crust (>25 km)
Chichinautzin,Mexico,México and Central America,Volcanic field,400,19.08,-99.13,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Popocatepetl,Mexico,México and Central America,Stratovolcano,2016,19.023,-98.62200000000001,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Cofre de Perote,Mexico,México and Central America,Shield,1150,19.492,-97.15,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Orizaba, Pico de",Mexico,México and Central America,Stratovolcano,1846,19.03,-97.27,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
San Martin,Mexico,México and Central America,Shield,1796,18.57,-95.2,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
"Chichon, El",Mexico,México and Central America,Lava dome,1982,17.36,-93.228,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Tacana,Mexico-Guatemala,México and Central America,Stratovolcano,1986,15.132,-92.109,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Santa Maria,Guatemala,México and Central America,Stratovolcano,2016,14.755999999999998,-91.552,Dacite,Subduction Zone / Continental Crust (>25 km)
Almolonga,Guatemala,México and Central America,Stratovolcano,1818,14.797,-91.51899999999999,Dacite,Subduction Zone / Continental Crust (>25 km)
Atitlan,Guatemala,México and Central America,Stratovolcano,1853,14.583,-91.186,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Acatenango,Guatemala,México and Central America,Stratovolcano,1972,14.501,-90.876,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Fuego,Guatemala,México and Central America,Stratovolcano,2016,14.472999999999999,-90.88,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Pacaya,Guatemala,México and Central America,Complex,2016,14.380999999999998,-90.601,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Tecuamburro,Guatemala,México and Central America,Stratovolcano,-960,14.155999999999999,-90.40700000000001,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Santa Ana,El Salvador,México and Central America,Stratovolcano,2005,13.853,-89.63,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Izalco,El Salvador,México and Central America,Stratovolcano,1966,13.812999999999999,-89.633,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
San Salvador,El Salvador,México and Central America,Stratovolcano,1917,13.734000000000002,-89.294,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Ilopango,El Salvador,México and Central America,Caldera,1880,13.672,-89.053,Dacite,Subduction Zone / Continental Crust (>25 km)
San Miguel,El Salvador,México and Central America,Stratovolcano,2016,13.434000000000001,-88.26899999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Cosiguina,Nicaragua,México and Central America,Stratovolcano,1859,12.98,-87.57,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
San Cristobal,Nicaragua,México and Central America,Stratovolcano,2016,12.702,-87.00399999999999,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Telica,Nicaragua,México and Central America,Stratovolcano,2016,12.602,-86.845,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
"Negro, Cerro",Nicaragua,México and Central America,Pyroclastic cone,1999,12.505999999999998,-86.70200000000001,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
"Pilas, Las",Nicaragua,México and Central America,Complex,1954,12.495,-86.68799999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Momotombo,Nicaragua,México and Central America,Stratovolcano,2016,12.422,-86.54,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Apoyeque,Nicaragua,México and Central America,Pyroclastic shield,-50,12.242,-86.34200000000001,Dacite,Subduction Zone / Continental Crust (>25 km)
Nejapa-Miraflores,Nicaragua,México and Central America,Fissure vent,1060,12.12,-86.32,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Masaya,Nicaragua,México and Central America,Caldera,2016,11.984000000000002,-86.161,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Concepcion,Nicaragua,México and Central America,Stratovolcano,2011,11.538,-85.62200000000001,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Rincon de la Vieja,Costa Rica,México and Central America,Complex,2014,10.83,-85.324,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Miravalles,Costa Rica,México and Central America,Stratovolcano,1946,10.748,-85.15299999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Arenal,Costa Rica,México and Central America,Stratovolcano,2010,10.463,-84.70299999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Poas,Costa Rica,México and Central America,Stratovolcano,2016,10.2,-84.23299999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Irazu,Costa Rica,México and Central America,Stratovolcano,1994,9.979,-83.852,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Turrialba,Costa Rica,México and Central America,Stratovolcano,2016,10.025,-83.76700000000001,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Baru,Panama,México and Central America,Stratovolcano,1550,8.808,-82.54299999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Bravo, Cerro",Colombia,South America,Stratovolcano,1720,5.091,-75.293,Dacite,Subduction Zone / Continental Crust (>25 km)
"Ruiz, Nevado del",Colombia,South America,Stratovolcano,2016,4.8919999999999995,-75.324,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Santa Isabel,Colombia,South America,Shield,-850,4.8180000000000005,-75.365,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Tolima, Nevado del",Colombia,South America,Stratovolcano,1943,4.658,-75.33,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Machin,Colombia,South America,Stratovolcano,1180,4.487,-75.389,Dacite,Subduction Zone / Continental Crust (>25 km)
"Huila, Nevado del",Colombia,South America,Stratovolcano,2012,2.93,-76.03,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Purace,Colombia,South America,Stratovolcano,1977,2.32,-76.4,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Dona Juana,Colombia,South America,Stratovolcano,1906,1.5,-76.936,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Galeras,Colombia,South America,Complex,2014,1.22,-77.37,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Azufral,Colombia,South America,Stratovolcano,-930,1.08,-77.68,Dacite,Subduction Zone / Continental Crust (>25 km)
Cumbal,Colombia,South America,Stratovolcano,1926,0.95,-77.87,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Chiles-Cerro Negro,Colombia-Ecuador,South America,Stratovolcano,1936,0.8170000000000001,-77.938,Dacite,Subduction Zone / Continental Crust (>25 km)
Cuicocha,Ecuador,South America,Caldera,650,0.308,-78.36399999999999,Dacite,Subduction Zone / Continental Crust (>25 km)
Cayambe,Ecuador,South America,Compound,1786,0.028999999999999998,-77.986,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Reventador,Ecuador,South America,Stratovolcano,2016,-0.077,-77.656,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Pululagua,Ecuador,South America,Caldera,290,0.038,-78.46300000000001,Dacite,Subduction Zone / Continental Crust (>25 km)
Guagua Pichincha,Ecuador,South America,Stratovolcano,2002,-0.171,-78.598,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Atacazo,Ecuador,South America,Stratovolcano,-320,-0.353,-78.617,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Chacana,Ecuador,South America,Caldera,1773,-0.375,-78.25,Rhyolite,Subduction Zone / Continental Crust (>25 km)
Antisana,Ecuador,South America,Stratovolcano,1802,-0.48100000000000004,-78.141,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Sumaco,Ecuador,South America,Stratovolcano,1895,-0.5379999999999999,-77.626,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
Cotopaxi,Ecuador,South America,Stratovolcano,2016,-0.677,-78.436,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Quilotoa,Ecuador,South America,Caldera,1280,-0.85,-78.9,Dacite,Subduction Zone / Continental Crust (>25 km)
Chimborazo,Ecuador,South America,Stratovolcano,550,-1.464,-78.815,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Tungurahua,Ecuador,South America,Stratovolcano,2016,-1.4669999999999999,-78.442,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Sangay,Ecuador,South America,Stratovolcano,2016,-2.005,-78.34100000000001,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Fernandina,Ecuador,South America,Shield,2009,-0.37,-91.55,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Ecuador,Ecuador,South America,Shield,1150,-0.02,-91.546,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Wolf,Ecuador,South America,Shield,2015,0.02,-91.35,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Darwin,Ecuador,South America,Shield,1813,-0.18,-91.28,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Alcedo,Ecuador,South America,Shield,1993,-0.43,-91.12,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
"Negra, Sierra",Ecuador,South America,Shield,2005,-0.83,-91.17,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
"Azul, Cerro",Ecuador,South America,Shield,2008,-0.92,-91.40799999999999,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Pinta,Ecuador,South America,Shield,1928,0.58,-90.75,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Marchena,Ecuador,South America,Shield,1991,0.33,-90.47,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Santiago,Ecuador,South America,Shield,1906,-0.22,-90.77,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km)
Andahua-Orcopampa,Peru,South America,Pyroclastic cone,1490,-15.42,-72.33,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Huambo,Peru,South America,Volcanic field,-700,-15.83,-72.13,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Sabancaya,Peru,South America,Stratovolcano,2016,-15.78,-71.85,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Misti, El",Peru,South America,Stratovolcano,1985,-16.294,-71.40899999999999,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Ubinas,Peru,South America,Stratovolcano,2016,-16.355,-70.903,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Huaynaputina,Peru,South America,Stratovolcano,1600,-16.608,-70.85,Dacite,Subduction Zone / Continental Crust (>25 km)
Ticsani,Peru,South America,Lava dome,1800,-16.755,-70.595,Dacite,Subduction Zone / Continental Crust (>25 km)
Tutupaca,Peru,South America,Stratovolcano,1802,-17.026,-70.372,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Taapaca,Chile,South America,Complex,-320,-18.1,-69.5,Dacite,Subduction Zone / Continental Crust (>25 km)
Parinacota,Chile-Bolivia,South America,Stratovolcano,290,-18.166,-69.142,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Guallatiri,Chile,South America,Stratovolcano,1960,-18.42,-69.092,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Isluga,Chile,South America,Stratovolcano,1913,-19.15,-68.83,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Irruputuncu,Chile-Bolivia,South America,Stratovolcano,1995,-20.73,-68.55,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Olca-Paruma,Chile-Bolivia,South America,Stratovolcano,1867,-20.939,-68.413,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
San Pedro-San Pablo,Chile,South America,Stratovolcano,1960,-21.888,-68.391,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Putana,Chile,South America,Stratovolcano,1810,-22.557,-67.85300000000001,Dacite,Subduction Zone / Continental Crust (>25 km)
Lascar,Chile,South America,Stratovolcano,2016,-23.37,-67.73,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Llullaillaco,Chile-Argentina,South America,Stratovolcano,1877,-24.72,-68.53,Dacite,Subduction Zone / Continental Crust (>25 km)
"Ojos del Salado, Nevados",Chile-Argentina,South America,Stratovolcano,750,-27.109,-68.541,Dacite,Subduction Zone / Continental Crust (>25 km)
Tupungatito,Chile-Argentina,South America,Stratovolcano,1987,-33.425,-69.797,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
San Jose,Chile-Argentina,South America,Stratovolcano,1960,-33.789,-69.895,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Maipo,Chile-Argentina,South America,Caldera,1912,-34.164,-69.832,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Tinguiririca,Chile,South America,Stratovolcano,1917,-34.814,-70.352,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Planchon-Peteroa,Chile,South America,Stratovolcano,2011,-35.223,-70.568,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Descabezado Grande,Chile,South America,Stratovolcano,1933,-35.58,-70.75,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Azul, Cerro",Chile,South America,Stratovolcano,1967,-35.653,-70.76100000000001,Dacite,Subduction Zone / Continental Crust (>25 km)
"Maule, Laguna del",Chile,South America,Caldera,-50,-36.058,-70.492,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
"Chillan, Nevados de",Chile,South America,Stratovolcano,2016,-36.863,-71.377,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Tromen,Argentina,South America,Stratovolcano,1822,-37.144,-70.033,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Antuco,Chile,South America,Stratovolcano,1869,-37.406,-71.34899999999999,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Copahue,Chile-Argentina,South America,Stratovolcano,2016,-37.856,-71.183,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km)
Callaqui,Chile,South America,Stratovolcano,1980,-37.92,-71.45,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Lonquimay,Chile,South America,Stratovolcano,1990,-38.379,-71.586,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Llaima,Chile,South America,Stratovolcano,2009,-38.692,-71.729,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Sollipulli,Chile,South America,Caldera,1240,-38.97,-71.52,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Villarrica,Chile,South America,Stratovolcano,2016,-39.42,-71.93,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Quetrupillan,Chile,South America,Stratovolcano,1872,-39.5,-71.7,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Lanin,Chile-Argentina,South America,Stratovolcano,560,-39.637,-71.502,Trachyandesite / Basaltic Trachyandesite,Subduction Zone / Continental Crust (>25 km)
Huanquihue Group,Argentina,South America,Stratovolcano,1750,-39.887,-71.58,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Mocho-Choshuenco,Chile,South America,Stratovolcano,1937,-39.927,-72.027,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Carrán-Los Venados,Chile,South America,Pyroclastic cone,1979,-40.35,-72.07,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Puyehue-Cordon Caulle,Chile,South America,Stratovolcano,2012,-40.59,-72.117,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Antillanca Group,Chile,South America,Stratovolcano,-230,-40.771,-72.153,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Puntiagudo-Cordon Cenizos,Chile,South America,Stratovolcano,1850,-40.968999999999994,-72.264,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Osorno,Chile,South America,Stratovolcano,1869,-41.105,-72.49600000000001,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Cayutue-La Vigueria,Chile,South America,Pyroclastic cone,-190,-41.25,-72.27,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Calbuco,Chile,South America,Stratovolcano,2015,-41.33,-72.618,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Yate,Chile,South America,Stratovolcano,1090,-41.755,-72.396,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Hornopiren,Chile,South America,Stratovolcano,340,-41.873999999999995,-72.431,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Apagado,Chile,South America,Pyroclastic cone,-590,-41.88,-72.58,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Huequi,Chile,South America,Lava dome,1920,-42.376999999999995,-72.578,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Michinmahuida,Chile,South America,Stratovolcano,1835,-42.799,-72.445,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Chaiten,Chile,South America,Caldera,2011,-42.833,-72.646,Rhyolite,Subduction Zone / Continental Crust (>25 km)
Melimoyu,Chile,South America,Stratovolcano,200,-44.08,-72.88,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Mentolat,Chile,South America,Stratovolcano,1710,-44.7,-73.08,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Maca,Chile,South America,Stratovolcano,1560,-45.1,-73.17,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
"Hudson, Cerro",Chile,South America,Stratovolcano,2011,-45.9,-72.97,Basalt / Picro-Basalt,Subduction Zone / Continental Crust (>25 km)
Arenales,Chile,South America,Stratovolcano,1979,-47.2,-73.48,No Data,Subduction Zone / Continental Crust (>25 km)
Lautaro,Chile,South America,Stratovolcano,1979,-49.02,-73.55,Dacite,Subduction Zone / Continental Crust (>25 km)
Viedma,Argentina,South America,Subglacial,1988,-49.358000000000004,-73.28,Dacite,Subduction Zone / Continental Crust (>25 km)
Reclus,Chile,South America,Pyroclastic cone,1908,-50.964,-73.585,Dacite,Subduction Zone / Continental Crust (>25 km)
"Burney, Monte",Chile,South America,Stratovolcano,1910,-52.33,-73.4,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Fueguino,Chile,South America,Lava dome,1820,-54.95,-70.25,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km)
Saba,Netherlands,West Indies,Stratovolcano,1640,17.63,-63.23,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
"Quill, The",Netherlands,West Indies,Stratovolcano,250,17.477999999999998,-62.96,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
Liamuiga,Saint Kitts and Nevis,West Indies,Stratovolcano,160,17.37,-62.8,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
Soufrière Hills,United Kingdom,West Indies,Stratovolcano,2013,16.72,-62.18,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
Soufriere Guadeloupe,France,West Indies,Stratovolcano,1977,16.044,-61.663999999999994,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
"Trois Pitons, Morne",Dominica,West Indies,Complex,920,15.37,-61.33,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
"Watt, Morne",Dominica,West Indies,Stratovolcano,1997,15.307,-61.305,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
"Plat Pays, Morne",Dominica,West Indies,Stratovolcano,1270,15.255,-61.341,Dacite,Subduction Zone / Oceanic Crust (< 15 km)
Pelee,France,West Indies,Stratovolcano,1932,14.809000000000001,-61.165,Andesite / Basaltic Andesite,Subduction Zone / Oceanic Crust (< 15 km)
